ast_k1,sdc,sc_k2
veiy,586981,40
veiy,159842,0
veiy,854333,100
veiy,655715,80
veiy,123875,60
veiy,373901,0
veiy,480843,100
veiy,599697,0
veiy,868366,0
veiy,374400,80
oexk,758592,0
oexk,596235,100
oexk,975179,100
oexk,739244,0
oexk,408620,100
oexk,524203,100
oexk,767173,100
oexk,329294,80
oexk,855762,0
oexk,782903,100
oexk,685939,100
oexk,829577,80
oexk,734042,100
oexk,670452,80
oexk,252398,20
oexk,120912,0
oexk,653801,0
oexk,601465,0
oexk,813434,0
oexk,427093,0
oexk,629220,0
oexk,300556,100
oexk,302588,0
oexk,599647,0
oexk,591716,0
oexk,962740,0
oexk,437672,0
oexk,251974,100
oexk,262192,100
oexk,844462,80
oexk,473266,0
oexk,152692,40
oexk,451220,60
oexk,274293,0
oexk,573322,100
oexk,217056,100
oexk,637153,0
oexk,551028,100
oexk,171109,100
oexk,553009,0
oexk,104891,0
oexk,424276,80
oexk,284514,80
oexk,104618,80
oexk,326959,0
oexk,772634,40
oexk,479675,80
oexk,519678,0
oexk,327137,100
oexk,620063,0
oexk,273825,80
oexk,374526,80
oexk,781936,80
oexk,805101,80
oexk,722106,100
oexk,520944,80
oexk,133826,60
oexk,734739,100
oexk,631199,100
oexk,935063,0
oexk,911815,0
oexk,904274,0
oexk,624831,0
oexk,471871,0
oexk,109220,80
oexk,171477,100
oexk,136541,100
oexk,605009,100
oexk,837888,0
oexk,117939,0
oexk,464214,0
oexk,331329,0
oexk,507497,100
oexk,227667,0
oexk,769815,60
oexk,230494,80
oexk,488081,100
oexk,214934,80
oexk,539865,0
oexk,377532,80
oexk,529445,0
oexk,586981,100
oexk,159842,0
oexk,854333,100
oexk,655715,100
oexk,123875,80
oexk,373901,0
oexk,480843,60
oexk,599697,0
oexk,868366,0
oexk,374400,100
tfov,758592,0
tfov,596235,100
tfov,975179,40
tfov,739244,0
tfov,408620,100
tfov,524203,100
tfov,767173,60
tfov,329294,100
tfov,855762,0
tfov,782903,100
tfov,685939,80
tfov,829577,80
tfov,734042,100
tfov,670452,60
tfov,252398,0
tfov,120912,0
tfov,653801,0
tfov,601465,0
tfov,813434,0
tfov,427093,0
tfov,629220,0
tfov,300556,100
tfov,302588,0
tfov,599647,0
tfov,591716,0
tfov,962740,0
tfov,437672,0
tfov,251974,100
tfov,262192,80
tfov,844462,60
tfov,473266,0
tfov,152692,60
tfov,451220,100
tfov,274293,0
tfov,573322,100
tfov,217056,100
tfov,637153,0
tfov,551028,80
tfov,171109,100
tfov,553009,0
tfov,104891,0
tfov,424276,80
tfov,284514,60
tfov,104618,100
tfov,326959,0
tfov,772634,60
tfov,479675,40
tfov,519678,0
tfov,327137,100
tfov,620063,0
tfov,273825,80
tfov,374526,40
tfov,781936,80
tfov,805101,100
tfov,722106,80
tfov,520944,100
tfov,133826,40
tfov,734739,100
tfov,631199,100
tfov,935063,0
tfov,911815,0
tfov,904274,0
tfov,624831,0
tfov,471871,0
tfov,109220,40
tfov,171477,100
tfov,136541,100
tfov,605009,100
tfov,837888,0
tfov,117939,0
tfov,464214,0
tfov,331329,0
tfov,507497,100
tfov,227667,0
tfov,769815,60
tfov,230494,80
tfov,488081,100
tfov,214934,40
tfov,539865,0
tfov,377532,80
tfov,529445,0
tfov,586981,80
tfov,159842,0
tfov,854333,100
tfov,655715,100
tfov,123875,80
tfov,373901,0
tfov,480843,100
tfov,599697,0
tfov,868366,0
tfov,374400,80
hrti,758592,40
hrti,596235,0
hrti,975179,60
hrti,739244,0
hrti,408620,0
hrti,524203,60
hrti,767173,100
hrti,329294,100
hrti,855762,60
hrti,782903,80
hrti,685939,100
hrti,829577,100
hrti,734042,80
hrti,670452,60
hrti,252398,60
hrti,120912,0
hrti,653801,60
hrti,601465,0
hrti,813434,0
hrti,427093,0
hrti,629220,40
hrti,300556,100
hrti,302588,0
hrti,599647,0
hrti,591716,0
hrti,962740,60
hrti,437672,0
hrti,251974,60
hrti,262192,100
hrti,844462,100
hrti,473266,0
hrti,152692,80
hrti,451220,100
hrti,274293,60
hrti,573322,100
hrti,217056,80
hrti,637153,0
hrti,551028,80
hrti,171109,80
hrti,553009,0
hrti,104891,0
hrti,424276,100
hrti,284514,80
hrti,104618,60
hrti,326959,0
hrti,772634,0
hrti,479675,60
hrti,519678,0
hrti,327137,60
hrti,620063,0
hrti,273825,60
hrti,374526,0
hrti,781936,60
hrti,805101,60
hrti,722106,0
hrti,520944,100
hrti,133826,80
hrti,734739,100
hrti,631199,100
hrti,935063,0
hrti,911815,0
hrti,904274,100
hrti,624831,0
hrti,471871,0
hrti,109220,40
hrti,171477,0
hrti,136541,0
hrti,605009,100
hrti,837888,80
hrti,117939,0
hrti,464214,0
hrti,331329,0
hrti,507497,100
hrti,227667,40
hrti,769815,60
hrti,230494,60
hrti,488081,80
hrti,214934,80
hrti,539865,0
hrti,377532,100
hrti,529445,0
hrti,586981,0
hrti,159842,0
hrti,854333,100
hrti,655715,80
hrti,123875,100
hrti,373901,20
hrti,480843,100
hrti,599697,0
hrti,868366,0
hrti,374400,60
ifai,758592,40
ifai,596235,0
ifai,975179,80
ifai,739244,0
ifai,408620,60
ifai,524203,80
ifai,767173,100
ifai,329294,40
ifai,855762,0
ifai,782903,60
ifai,685939,100
ifai,829577,80
ifai,734042,40
ifai,670452,60
ifai,252398,0
ifai,120912,0
ifai,653801,60
ifai,601465,0
ifai,813434,0
ifai,427093,0
ifai,629220,60
ifai,300556,100
ifai,302588,0
ifai,599647,0
ifai,591716,0
ifai,962740,40
ifai,437672,0
ifai,251974,100
ifai,262192,100
ifai,844462,40
ifai,473266,0
ifai,152692,80
ifai,451220,80
ifai,274293,60
ifai,573322,100
ifai,217056,80
ifai,637153,0
ifai,551028,80
ifai,171109,80
ifai,553009,0
ifai,104891,0
ifai,424276,60
ifai,284514,60
ifai,104618,40
ifai,326959,0
ifai,772634,0
ifai,479675,100
ifai,519678,0
ifai,327137,80
ifai,620063,0
ifai,273825,80
ifai,374526,0
ifai,781936,20
ifai,805101,60
