title,authorLN,authorFN,authorID,year,pages,country,repetition,gender,language
Die grossen Mathematiker,Bell,Eric,ebell,1994,540,USA,0,1,d
Die Grossmutter,Simenon,George,gsimenon,1994,198,FRA,0,1,d
Die kleine Hexe,Preussler,Otfried,opreussler,1994,127,BRD,0,1,d
Die Marquise von O,Kleist,Heinrich von,hkleist,1994,50,BRD,1,1,d
Die Musik des Zufalls,Auster,Paul,pauster,1994,254,USA,0,1,d
Die neuen Leiden des jungen W,Plenzdorf,Ulrich,uplenzdorf,1994,148,BRD,0,1,d
Die Roemisch Katholische Kirche,Krenn,Oliver,okrenn,1994,47,AUT,0,1,d
Die Selbstmoerder,Simenon,George,gsimenon,1994,169,FRA,0,1,d
Die Sorge um sich,Foucault,Michel,mfoucault,1994,307,FRA,0,1,d
Die unendliche Geschichte,Ende,Michael,mende,1994,486,BRD,1,1,d
Die Unsterblichkeit,Kundera,Milan,mkundera,1994,416,TCH,0,1,d
Die Verlobung in St Domingo,Kleist,Heinrich von,hkleist,1994,42,BRD,0,1,d
Die Verwirrungen des Zoeglings Toerless,Musil,Robert,rmusil,1994,140,AUT,1,1,d
Die Weber,Hauptmann,Gerhart,ghauptmann,1994,87,BRD,1,1,d
Du sollst nicht merken,Miller,Alice,amiller,1994,410,SUI,0,0,d
Engel Kif und neue Laender,Kerouac,Jack,kerouac,1994,186,USA,0,1,d
Fremd im eigenen Haus,Simenon,George,gsimenon,1994,278,FRA,0,1,d
Giordano Bruno,Drewermann,Eugen,edrewermann,1994,395,BRD,0,1,d
Goldene Zeiten,Brown,Rita Mae,rbrown,1994,187,USA,0,0,d
Grundlagen der Mathematik,Becker,Oskar,obecker,1994,406,BRD,0,1,d
Hallo Mr Gott hier spricht Anna,Fynn,ynn,ffynn,1994,122,IRL,1,1,d
Heinrich Heine,Marcuse,Ludwig,lmarcuse,1994,173,BRD,0,1,d
Heirate mich!,Updike,John,jupdike,1994,300,USA,0,1,d
Herzgetuemmel,Brown,Rita Mae,rbrown,1994,484,USA,0,0,d
Im Land der letzten Dinge,Auster,Paul,pauster,1994,199,USA,0,1,d
Komm wir finden einen Schatz,Janosch,Janosch,janosch,1994,43,BRD,0,1,d
Maigret als moeblierter Herr,Simenon,George,gsimenon,1994,124,FRA,0,1,d
Maigret stellt eine Falle,Simenon,George,gsimenon,1994,197,FRA,0,1,d
Meine Jugend hat spaet begonnen,Miller,Henry,hmiller,1994,124,USA,0,1,d
Mein Leben 1872--1914,Russell,Bertrand,brussell,1994,352,GBR,0,1,d
Michael Ende---Heilung durch magische Phantasien,Berger,Klaus,kberger,1994,129,BRD,0,1,d
Mila 18,Uris,Leon,luris,1994,774,USA,0,1,d
Mond ueber Manhattan,Auster,Paul,pauster,1994,382,USA,1,1,d
Mysterien,Hamsun,Knut,khamsun,1994,290,NOR,0,1,d
Pinocchio,Collodi,Carlo,ccollodi,1994,155,ITA,0,1,d
Prost Mahlzeit!,Pollmer,Udo,upollmer,1994,314,BRD,0,1,d
Pu der Baer,Milne,Alan Alexander,amilne,1994,160,GBR,0,1,d
Rascal der Waschbaer,North,Sterling,snorth,1994,143,USA,0,1,d
Reisebuch,Schiltberger,Hans,hschiltberger,1994,118,BRD,0,1,d
Robert Musil,Berghahn,Wilfried,wberghahn,1994,165,BRD,0,1,d
Rubinroter Dschungel,Brown,Rita Mae,rbrown,1994,254,USA,0,0,d
Schatten ueber Innsmouth,Lovecraft,Howard,hlovecraft,1994,121,GBR,0,1,d
Schlafen auf dem Wind,Wippersberg,W.J.M.,wwippersberg,1994,159,USA,0,0,d
Schweizer Geschichten,Widmer,Urs,uwidmer,1994,164,SUI,0,1,d
Stiller,Frisch,Max,mfrisch,1994,438,SUI,0,1,d
Tigor,Jungk,Peter Stephan,pjungk,1994,287,BRD,0,1,d
Unsere Brueder in den Sekten Die Mormonen,Renker,Z.,zrenker,1994,50,BRD,0,1,d
Unterhaltungen deutscher Ausgewanderten,Goethe,Johann Wolfgang von,jgoethe,1994,101,BRD,0,1,d
Vom Fenster meines Hauses aus,Widmer,Urs,uwidmer,1994,232,SUI,0,1,d
Von Liebe und Schatten,Allende,Isabel,iallende,1994,424,CHL,0,0,d
Wen die Goetter lieben,Infeld,Leopold,linfeld,1994,331,USA,0,1,d
The Bridges of Madison County,Waller,Robert James,rwaller,1995,171,USA,0,1,e
Die Farbe Lila,Walker,Alice,awalker,1995,224,USA,0,0,d
Peter Pan and Wendy,Barrie and Scholl,James and Sophie,jbarrie,1995,114,GBR,0,1,d
Die Aufzeichnungen des Malte Laurids Brigge,Rilke,Rainer Maria,rrilke,1995,174,BRD,0,1,d
Mr Vertigo,Auster,Paul,pauster,1995,293,USA,0,1,d
Pu baut ein Haus,Milne,Alan Alexander,amilne,1995,166,GBR,0,1,d
Nur ein kleiner Dicker,Schulte,Anton,aschulte,1995,134,BRD,0,1,d
Harold and Maude,Higgins,Colin,chiggins,1995,120,USA,0,1,d
Was unsere Liebe vermag,Meves,Christa,cmeves,1995,318,BRD,0,0,d
Die Entwicklung des oesterreichischen Schulwesens von 1750--1938,Scheipl and Seel,Josef and Helmut,jscheipl,1995,104,AUT,0,1,d
Neun Erzaehlungen,Salinger,Jerome David,jsalinger,1995,159,USA,0,1,d
Moon Palace,Auster,Paul,pauster,1995,307,USA,0,1,e
Das Wesen des Hermes,Lukits,Gerhard,glukits,1995,68,AUT,1,1,d
Peter Camenzind,Hesse,Hermann,hhesse,1995,166,BRD,0,1,d
Cyrano von Bergerac,Rostand,Edmond,erostand,1995,156,FRA,0,1,d
Intimate Strangers,Rubin,Lillian B.,lrubin,1995,215,USA,0,0,e
Malina,Bachmann,Ingeborg,ibachmann,1995,356,AUT,0,0,d
Der weisse Wolf,Recheis,Kaethe,krecheis,1995,352,AUT,0,0,d
The Graduate,Webb,Charles,cwebb,1995,192,USA,0,1,e
Francis of Assisi and Mysticism,Downs,Christopher,cdowns,1995,14,NZL,0,1,d
Hauterkrankungen als Botschaften der Seele,Maguire,Anne,amaguire,1995,296,GBR,0,0,d
New Testament Exegesis,Fee,Gordon D.,gfee,1995,188,USA,0,1,e
Der Findling Der Zweikampf Die Marquise von O,Kleist,einrich von,hkleist,1995,102,BRD,1,1,d
Die Farbe der Oelsardinen,Steinbeck,John,jsteinbeck,1995,150,USA,0,1,d
Savonarola s Life,O Neil,James Louis,joneil,1995,221,USA,0,1,e
Der General in seinem Labyrinth,Marquez,Gabriel Garcia,gmarquez,1995,359,COL,0,1,d
Bloss ein boeses Maedchen,Stowe,Rebecca,rstowe,1995,167,USA,0,0,d
Crown of Fire,Paassen,Pierre van,ppaassen,1995,345,USA,0,1,e
Now We Are Six,Milne,Alan Alexander,amilne,1995,102,GBR,0,1,e
Iteration of Rational Functions,Beardon,Alan F.,abeardon,1995,272,GBR,0,1,e
Savonarola s Tune,Finstein,Max,mfinstein,1995,41,USA,0,1,e
Deutschland umsonst,Holzach,Michael,mholzach,1995,251,BRD,0,1,d
Ein Mann wird aelter,Svevo,Italo,isvevo,1995,355,ITA,0,1,d
Im Einsatz fuer Jesus---Programm und Praxis des Pfarrers Wilhelm Busch,Parzany,Ulrich,uparzany,1995,267,BRD,0,1,d
Du selbst bist die Antwort,Lewis,Clives Staples,clewis,1995,312,GBR,0,1,d
Pardon ich bin Christ,Lewis,Clives Staples,lewis,1995,198,GBR,1,1,d
Mein Name sei Gantenbein,Frisch,Max,mfrisch,1995,288,SUI,0,1,d
The Unarmed Prophet,Erlanger,Rachel,rerlanger,1995,328,USA,0,0,e
New York Trilogy,Auster,Paul,pauster,1995,314,USA,0,1,e
Rational Iteration,Steinmetz,Norbert,nsteinmetz,1995,182,BRD,0,1,e
Old Testament Survey,LaSor and Hubbard and Bush,William and David and Frederic,wlasor,1995,674,USA,0,1,e
Leviathan,Auster,Paul,pauster,1995,275,USA,0,1,e
Jakob der Knecht,Singer,Isaac Bashevis,isinger,1995,249,USA,0,1,d
Surprised by Joy,Lewis,Clives Staples,clewis,1996,190,GBR,0,1,e
My Beautiful Feeling,Trobisch,Walter,wtrobisch,1996,74,AUT,0,1,e
Under the Unpredictable Plant,Peterson,Eugene,epeterson,1996,197,USA,0,1,e
Women in the Maze,Tucker,Ruth A.,rtucker,1996,254,USA,0,0,e
Looking Backward 2000--1887,Bellamy,Edward,ebellamy,1996,318,USA,0,1,e
Technopoly,Postman,Neil,npostman,1996,199,USA,0,1,e
Lost Boys,Berenstein,Frederick,fberenstein,1996,197,USA,0,1,e
The Chronicles of Narnia,Lewis,Clives Staples,clewis,1996,1316,GBR,0,1,e
The Body,Colson,Charles,ccolson,1996,416,USA,0,1,e
Fit to Be Tied,Hybels,Bill and Lynne,bhybels,1996,217,USA,0,1,e
Hansi the Girl Who Loved the Swastika,Hirschmann,Maria Anne,hirschmann,1996,243,USA,0,0,e
The Doctrine of God,Bray,Gerald,gbray,1996,251,CAN,0,1,e
The Theology of Hebrews,Lindars,Barnabas,blindars,1996,143,GBR,0,1,e
Jokastes Kinder,Olivier,Christiane,colivier,1996,176,BRD,0,0,d
The Rainbow,Lawrence,D.H.,dlawrence,1996,573,GBR,0,1,e
George Fox and the Children of the Light,Fox,George,gfox,1996,269,GBR,0,1,e
Love not the World,Nee,Watchman,wnee,1996,88,GBR,0,1,e
Creative Ministry,Nouwen,Henri J.M.,hnouwen,1996,147,NED,0,1,e
Civil Disobedience,Thoreau,Henry David,hthoreau,1996,20,USA,0,1,e
The Lord of the Ring,Tolkien,J.R.R.,jtolkien,1996,1008,GBR,0,1,e
Paulus---Rabbi Apostel oder Ketzer,Niemann (Ed),Raul,niemann,1996,160,BRD,0,1,d
Die Strudelhofstiege,Doderer,Heimito von,hdoderer,1996,909,AUT,0,1,d
Released from Bondage,Anderson,Neil T.,nanderson,1996,242,USA,0,1,e
The Anabaptist Story,Estep,William R.,westep,1996,232,USA,0,1,e
This Present Darkness,Peretti,Frank E.,fperetti,1996,376,USA,0,1,e
